Counter	Image	Merger (0 = no, 1 = yes)	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
87	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	2	1	0.0	0.0	0.5841405271596565	-1.957345243201776	4.208461152715471	0.27218741096887583	0.12555508830708145	2.1241	0.82182854
88	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	2	1	0.0	0.0	0.6247775388857512	-2.154137392316206	3.9548507038375993	0.14277912735887824	0.09300154595812042	2.379	0.24181092
89	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	2	1	0.0	0.0	0.5852584692936637	-2.4865510615442856	4.51085313367002	0.10287800488680443	0.16692546619220075	3.1071	0.10411928599999999
90	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	2	1	0.0	0.0	0.5157690543182729	-2.155942715441764	3.8802627987309615	0.12860330211164456	0.1002082815475512	2.7288	0.14123711
91	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_160.fits	1	1.56	2	1	0.0	0.0	0.6129589194734344	-2.4425857920549854	4.255496632997073	0.15280796010066833	0.14211353330019413	3.2207	0.1835486
92	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	3	2	9.554670559731527	6.339864851277111	0.6577556125825504	-1.681340446865001	4.468924550942637	0.2773643099536978	0.1460397070331293	3.9566	0.52161974
93	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	3	2	3.0748981990827358	5.562627775509262	0.5938844944514299	-1.9508691833660867	3.854622658640333	0.33275427262827045	0.15370961734529576	3.6418	0.31925485
94	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_185.fits	1	1.81	3	2	3.837666986450094	2.289602022256868	0.4994016804810971	-0.9633538760692816	2.03583657022134	0.5272465994469008	0.05314230075992135	0.4665	0.3018582
95	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	3	2	6.116020604958581	24.7377388230509	0.5738756151782994	-1.0216592828532918	2.4883620091952996	0.5349750576493326	0.08407913953399578	4.059	0.671768
96	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_195.fits	1	1.91	3	2	5.804054198479631	3.7865177761489326	0.6285757437444406	-1.1354132791506288	3.3880638182972715	0.473941112694049	-0.014682803632518298	1.8079	0.6870229
